Team,2020,2021,2022,2023,2024
Real Madrid,1,2,1,2,1
Barcelona,2,3,2,1,2
Ath Madrid,3,1,3,3,4
Sociedad,6,5,6,4,6
Eibar,14,20,,,
Osasuna,10,11,10,7,11
Granada,7,9,18,,20
Levante,12,14,19,,
Sevilla,4,4,4,12,14
Valladolid,13,19,,18,
Getafe,8,15,15,15,12
Villarreal,5,7,7,5,8
Ath Bilbao,11,10,8,8,5
Espanol,20,,14,19,
Betis,15,6,5,6,7
Celta,17,8,11,13,13
Alaves,16,16,20,,10
Valencia,9,13,9,16,9
Leganes,18,,,,
Mallorca,19,,16,9,15
Cadiz,,12,17,14,18
Elche,,17,13,20,
Huesca,,18,,,
Vallecano,,,12,11,17
Girona,,,,10,3
Almeria,,,,17,19
Las Palmas,,,,,16
